T,m,sus,bin_cum
0.000000,1.000000,0.000000,0.666667
0.010000,1.000000,0.000000,0.666667
0.020000,1.000000,0.000000,0.666667
0.030000,1.000000,0.000000,0.666667
0.040000,1.000000,0.000000,0.666667
0.050000,1.000000,0.000000,0.666667
0.060000,1.000000,0.000000,0.666667
0.070000,1.000000,0.000000,0.666667
0.080000,1.000000,0.000000,0.666667
0.090000,1.000000,0.000000,0.666667
0.100000,1.000000,0.000000,0.666667
0.110000,1.000000,0.000000,0.666667
0.120000,1.000000,0.000000,0.666667
0.130000,1.000000,0.000000,0.666667
0.140000,1.000000,0.000000,0.666667
0.150000,1.000000,0.000000,0.666667
0.160000,1.000000,0.000000,0.666667
0.170000,1.000000,0.000000,0.666667
0.180000,1.000000,0.000000,0.666667
0.190000,1.000000,0.000000,0.666667
0.200000,1.000000,0.000000,0.666667
0.210000,1.000000,0.000000,0.666667
0.220000,1.000000,0.000000,0.666667
0.230000,1.000000,0.000000,0.666667
0.240000,1.000000,0.000000,0.666667
0.250000,1.000000,0.000000,0.666667
0.260000,1.000000,0.000000,0.666667
0.270000,1.000000,0.000000,0.666667
0.280000,1.000000,0.000000,0.666667
0.290000,1.000000,0.000000,0.666667
0.300000,1.000000,0.000000,0.666667
0.310000,1.000000,0.000000,0.666667
0.320000,1.000000,0.000000,0.666667
0.330000,1.000000,0.000000,0.666667
0.340000,1.000000,0.000000,0.666667
0.350000,1.000000,0.000000,0.666667
0.360000,1.000000,0.000000,0.666667
0.370000,1.000000,0.000000,0.666667
0.380000,1.000000,0.000000,0.666667
0.390000,1.000000,0.000000,0.666667
0.400000,1.000000,0.000000,0.666667
0.410000,1.000000,0.000000,0.666667
0.420000,1.000000,0.000000,0.666667
0.430000,1.000000,0.000000,0.666667
0.440000,1.000000,0.000000,0.666667
0.450000,1.000000,0.000000,0.666667
0.460000,1.000000,0.000000,0.666667
0.470000,1.000000,0.000000,0.666667
0.480000,1.000000,0.000000,0.666667
0.490000,1.000000,0.000000,0.666667
0.500000,0.999999,0.000001,0.666667
0.510000,1.000000,0.000000,0.666667
0.520000,1.000000,0.000001,0.666667
0.530000,1.000000,0.000000,0.666667
0.540000,0.999999,0.000002,0.666667
0.550000,1.000000,0.000000,0.666667
0.560000,0.999998,0.000004,0.666667
0.570000,0.999998,0.000004,0.666667
0.580000,0.999997,0.000007,0.666667
0.590000,0.999997,0.000007,0.666667
0.600000,0.999995,0.000009,0.666667
0.610000,0.999997,0.000006,0.666667
0.620000,0.999994,0.000012,0.666667
0.630000,0.999996,0.000009,0.666667
0.640000,0.999990,0.000019,0.666667
0.650000,0.999988,0.000022,0.666667
0.660000,0.999988,0.000023,0.666667
0.670000,0.999985,0.000032,0.666667
0.680000,0.999980,0.000044,0.666667
0.690000,0.999985,0.000030,0.666667
0.700000,0.999978,0.000042,0.666667
0.710000,0.999979,0.000045,0.666667
0.720000,0.999967,0.000069,0.666667
0.730000,0.999958,0.000090,0.666667
0.740000,0.999953,0.000098,0.666667
0.750000,0.999956,0.000088,0.666667
0.760000,0.999945,0.000123,0.666667
0.770000,0.999933,0.000147,0.666667
0.780000,0.999923,0.000155,0.666667
0.790000,0.999911,0.000184,0.666667
0.800000,0.999899,0.000210,0.666667
0.810000,0.999888,0.000244,0.666667
0.820000,0.999886,0.000244,0.666667
0.830000,0.999861,0.000305,0.666667
0.840000,0.999852,0.000305,0.666667
0.850000,0.999830,0.000331,0.666667
0.860000,0.999817,0.000379,0.666667
0.870000,0.999776,0.000472,0.666667
0.880000,0.999771,0.000481,0.666667
0.890000,0.999727,0.000636,0.666667
0.900000,0.999714,0.000550,0.666667
0.910000,0.999650,0.000765,0.666667
0.920000,0.999635,0.000879,0.666667
0.930000,0.999626,0.000739,0.666667
0.940000,0.999595,0.000923,0.666667
0.950000,0.999541,0.000987,0.666667
0.960000,0.999493,0.001019,0.666667
0.970000,0.999458,0.001135,0.666667
0.980000,0.999410,0.001338,0.666666
0.990000,0.999322,0.001519,0.666666
1.000000,0.999231,0.001859,0.666666
1.010000,0.999223,0.001790,0.666666
1.020000,0.999126,0.001852,0.666666
1.030000,0.999073,0.001918,0.666666
1.040000,0.999019,0.002043,0.666666
1.050000,0.998908,0.002479,0.666666
1.060000,0.998844,0.002485,0.666666
1.070000,0.998749,0.002742,0.666666
1.080000,0.998639,0.002819,0.666666
1.090000,0.998560,0.003205,0.666666
1.100000,0.998448,0.003735,0.666666
1.110000,0.998341,0.003663,0.666666
1.120000,0.998234,0.004036,0.666666
1.130000,0.998147,0.004071,0.666666
1.140000,0.998004,0.004584,0.666666
1.150000,0.997802,0.005069,0.666666
1.160000,0.997753,0.005081,0.666666
1.170000,0.997500,0.005408,0.666666
1.180000,0.997372,0.006532,0.666666
1.190000,0.997173,0.006619,0.666666
1.200000,0.997018,0.006981,0.666666
1.210000,0.996825,0.007874,0.666666
1.220000,0.996597,0.008658,0.666666
1.230000,0.996485,0.008271,0.666666
1.240000,0.996196,0.008487,0.666666
1.250000,0.995954,0.009887,0.666665
1.260000,0.995728,0.010242,0.666665
1.270000,0.995605,0.010009,0.666665
1.280000,0.995346,0.012389,0.666665
1.290000,0.995079,0.012777,0.666665
1.300000,0.994773,0.013036,0.666665
1.310000,0.994476,0.013962,0.666665
1.320000,0.994241,0.015253,0.666665
1.330000,0.993857,0.016834,0.666664
1.340000,0.993550,0.016657,0.666664
1.350000,0.993274,0.017515,0.666664
1.360000,0.992920,0.018143,0.666664
1.370000,0.992450,0.020613,0.666664
1.380000,0.992140,0.020777,0.666664
1.390000,0.991873,0.020976,0.666664
1.400000,0.991282,0.023406,0.666663
1.410000,0.991073,0.023134,0.666664
1.420000,0.990574,0.027055,0.666663
1.430000,0.989907,0.028189,0.666663
1.440000,0.989684,0.031029,0.666662
1.450000,0.989310,0.032268,0.666662
1.460000,0.988704,0.029041,0.666663
1.470000,0.987955,0.037427,0.666662
1.480000,0.987635,0.039609,0.666661
1.490000,0.987188,0.037048,0.666662
1.500000,0.986370,0.042336,0.666661
1.510000,0.985946,0.041034,0.666661
1.520000,0.985546,0.044018,0.666661
1.530000,0.984479,0.051120,0.666660
1.540000,0.984178,0.049078,0.666660
1.550000,0.983342,0.045383,0.666660
1.560000,0.982609,0.059167,0.666659
1.570000,0.981794,0.062868,0.666658
1.580000,0.981060,0.059942,0.666658
1.590000,0.980439,0.064482,0.666658
1.600000,0.979392,0.070051,0.666657
1.610000,0.978884,0.070658,0.666657
1.620000,0.977839,0.077828,0.666656
1.630000,0.977306,0.076590,0.666656
1.640000,0.976240,0.085555,0.666655
1.650000,0.975014,0.088764,0.666654
1.660000,0.974100,0.092494,0.666654
1.670000,0.973148,0.099589,0.666653
1.680000,0.972365,0.099007,0.666653
1.690000,0.971456,0.108212,0.666651
1.700000,0.970397,0.116051,0.666650
1.710000,0.968939,0.116951,0.666650
1.720000,0.967452,0.146684,0.666646
1.730000,0.966699,0.129146,0.666648
1.740000,0.964909,0.176296,0.666641
1.750000,0.964198,0.140522,0.666647
1.760000,0.962160,0.177919,0.666641
1.770000,0.961402,0.161489,0.666643
1.780000,0.959993,0.179885,0.666641
1.790000,0.958534,0.186155,0.666640
1.800000,0.957103,0.186656,0.666640
1.810000,0.955503,0.206279,0.666637
1.820000,0.954101,0.208165,0.666636
1.830000,0.951672,0.241370,0.666631
1.840000,0.950117,0.230662,0.666633
1.850000,0.947789,0.301246,0.666622
1.860000,0.945736,0.281016,0.666625
1.870000,0.945190,0.295022,0.666623
1.880000,0.942102,0.320555,0.666619
1.890000,0.940282,0.324703,0.666618
1.900000,0.937844,0.382370,0.666609
1.910000,0.934886,0.426980,0.666602
1.920000,0.933978,0.404740,0.666605
1.930000,0.930927,0.544910,0.666583
1.940000,0.926880,0.493248,0.666590
1.950000,0.926777,0.632481,0.666569
1.960000,0.923970,0.663329,0.666564
1.970000,0.921386,0.631573,0.666568
1.980000,0.916115,0.603531,0.666571
1.990000,0.913162,0.710889,0.666553
2.000000,0.909371,0.797737,0.666538
2.010000,0.910651,0.678534,0.666558
2.020000,0.904262,0.743992,0.666546
2.030000,0.901713,0.896173,0.666520
2.040000,0.895973,0.971287,0.666506
2.050000,0.893890,1.048232,0.666492
2.060000,0.888366,1.280300,0.666451
2.070000,0.885258,1.134700,0.666475
2.080000,0.882514,1.104192,0.666478
2.090000,0.872709,1.396749,0.666423
2.100000,0.870651,1.643721,0.666379
2.110000,0.859540,2.513918,0.666219
2.120000,0.854570,2.488377,0.666217
2.130000,0.850285,2.495231,0.666208
2.140000,0.835230,3.504020,0.666000
2.150000,0.831911,3.565965,0.665987
2.160000,0.828359,3.822269,0.665939
2.170000,0.824758,3.497635,0.665987
2.180000,0.814070,4.549620,0.665768
2.190000,0.792239,11.540447,0.664282
2.200000,0.769322,13.456265,0.663777
2.210000,0.786978,6.290942,0.665333
2.220000,0.764452,9.556851,0.664514
2.230000,0.730272,9.786166,0.664236
2.240000,0.726284,19.280914,0.661784
2.250000,0.728828,13.729494,0.663262
2.260000,0.737354,7.159148,0.664908
2.270000,0.672574,17.855073,0.661575
2.280000,0.631267,95.679124,0.637742
2.290000,0.549345,21.794187,0.656973
2.300000,0.254603,139.559995,0.455677
2.310000,0.351221,44.759156,0.618661
2.320000,0.426656,56.862948,0.634457
2.330000,0.095948,37.694139,0.307787
2.340000,0.065253,16.657351,0.062189
2.350000,0.107211,38.854475,0.193931
2.360000,0.051841,12.905111,0.158397
2.370000,0.182083,86.373892,0.420352
2.380000,0.103556,38.056267,0.372997
2.390000,0.129064,53.316829,0.387201
2.400000,0.057880,15.105177,0.179498
2.410000,0.133441,50.738667,0.298450
2.420000,0.069823,15.591001,0.347325
2.430000,0.109028,65.260001,0.115109
2.440000,0.078576,25.938711,0.273120
2.450000,0.080423,36.024626,0.159227
2.460000,0.059741,20.151683,-0.014468
2.470000,0.073966,22.798166,0.261850
2.480000,0.058236,14.983100,0.128467
2.490000,0.064380,16.178963,0.298709
2.500000,0.056306,18.409589,0.105351
2.510000,0.061133,14.719068,0.339436
2.520000,0.046452,13.317115,0.003587
2.530000,0.052714,13.280560,0.119970
2.540000,0.056572,21.416097,0.033708
2.550000,0.046212,11.365997,0.104009
2.560000,0.064988,31.736603,-0.053047
2.570000,0.042799,9.104202,0.177847
2.580000,0.048295,12.455169,0.115209
2.590000,0.054997,16.269905,0.155207
2.600000,0.046902,9.698223,0.221627
2.610000,0.042787,7.938613,0.256680
2.620000,0.048382,13.134857,0.101219
2.630000,0.040988,10.051165,-0.004637
2.640000,0.061836,15.863607,0.263051
2.650000,0.047642,11.385178,0.182740
2.660000,0.037129,8.557910,0.024963
2.670000,0.039145,8.388144,0.031308
2.680000,0.036956,7.292845,0.143630
2.690000,0.051112,14.745493,0.118290
2.700000,0.038517,8.655648,0.048544
2.710000,0.051430,13.025633,0.137897
2.720000,0.035041,7.099915,-0.011525
2.730000,0.041352,7.789387,0.130318
2.740000,0.044776,9.814471,0.138173
2.750000,0.031473,5.948761,-0.055414
2.760000,0.042106,10.109838,0.028446
2.770000,0.032899,6.060591,0.005079
2.780000,0.032679,5.268513,0.186883
2.790000,0.028777,4.237773,0.105670
2.800000,0.036330,7.808089,0.053196
2.810000,0.033397,6.119691,0.076261
2.820000,0.036528,6.497279,0.179897
2.830000,0.027506,4.837451,-0.055436
2.840000,0.034311,7.943721,-0.212710
2.850000,0.024405,3.258163,0.058499
2.860000,0.036382,6.685473,0.048674
2.870000,0.037723,6.774079,0.207215
2.880000,0.028346,4.411912,0.035033
2.890000,0.024959,4.402257,-0.385920
2.900000,0.032073,6.055700,-0.024295
2.910000,0.032309,5.385234,0.100740
2.920000,0.030850,4.310442,0.210920
2.930000,0.030179,4.438437,0.137316
2.940000,0.028107,4.432198,0.004162
2.950000,0.033343,5.664817,0.097730
2.960000,0.027647,4.539696,-0.097884
2.970000,0.029040,4.191024,0.099129
2.980000,0.024763,3.893949,-0.117067
2.990000,0.027681,3.690208,0.107841
3.000000,0.026906,4.546689,-0.065479
3.010000,0.024982,3.863210,-0.058920
3.020000,0.032168,4.933415,0.147050
3.030000,0.024272,3.554658,-0.062064
3.040000,0.029599,4.604143,0.025725
3.050000,0.028471,4.139587,0.109145
3.060000,0.027889,4.462048,-0.019814
3.070000,0.025140,3.251148,0.096733
3.080000,0.029476,4.736579,0.117220
3.090000,0.022730,3.262629,-0.080833
3.100000,0.024062,3.155580,0.075224
3.110000,0.027573,4.688004,0.023988
3.120000,0.022462,3.199901,-0.033176
3.130000,0.024361,3.923903,-0.097178
3.140000,0.023927,2.960375,0.084367
3.150000,0.020178,2.481727,-0.022493
3.160000,0.022533,2.978950,-0.047989
3.170000,0.023255,3.073096,0.025976
3.180000,0.021478,2.717263,-0.092370
3.190000,0.022786,3.078697,-0.065343
3.200000,0.023847,3.551729,-0.043950
3.210000,0.024914,3.453026,0.026990
3.220000,0.022396,2.956650,-0.016616
3.230000,0.023644,3.634714,-0.155245
3.240000,0.022002,2.927113,-0.027674
3.250000,0.024062,3.139479,0.034508
3.260000,0.024829,3.742743,-0.038860
3.270000,0.024327,3.498892,-0.096432
3.280000,0.022277,3.122665,-0.036323
3.290000,0.022685,3.546606,-0.376223
3.300000,0.019907,2.165181,0.097266
3.310000,0.022376,3.008435,-0.048950
3.320000,0.024103,2.769627,0.156580
3.330000,0.020413,2.270256,0.054051
3.340000,0.023015,3.021685,0.018373
3.350000,0.021017,2.273089,0.057861
3.360000,0.020328,2.134307,0.094900
3.370000,0.021742,2.577657,0.071500
3.380000,0.021287,2.548553,0.028072
3.390000,0.021227,2.598991,-0.067875
3.400000,0.021069,2.903334,-0.132042
3.410000,0.021738,2.614541,0.021757
3.420000,0.022019,2.567917,0.095844
3.430000,0.019954,2.309706,0.021754
3.440000,0.019651,2.179166,-0.009208
3.450000,0.019180,2.641154,-0.414894
3.460000,0.020648,2.524306,-0.003897
3.470000,0.018840,1.941463,0.062179
3.480000,0.019711,2.158748,0.079550
3.490000,0.019365,1.957893,0.120798
3.500000,0.019377,2.213742,-0.011400
3.510000,0.020708,2.107416,0.091123
3.520000,0.018928,2.173018,-0.157256
3.530000,0.019200,2.049186,-0.016666
3.540000,0.018348,1.790126,0.068670
3.550000,0.018359,1.939852,0.034527
